Date,Close,Volume,Open,High,Low
09/22/2022,$170.55,2508351,$172.7,$174.62,$170.29
09/21/2022,$171.95,4061902,$179.28,$180.49,$171.88
09/20/2022,$177.99,2512363,$180.59,$180.72,$176.311
09/19/2022,$182.11,2923828,$177.25,$182.73,$176.8
09/16/2022,$179.47,5088335,$180,$180.34,$177.765
09/15/2022,$182.49,1933126,$184.67,$186.5409,$181.68
09/14/2022,$184.65,2295076,$183.92,$185.14,$181.87
09/13/2022,$184.31,2207621,$187.85,$190.05,$183.5
09/12/2022,$192.4,1937224,$190.85,$192.7,$190.61
09/09/2022,$189.49,2279841,$187.55,$189.76,$187.215
09/08/2022,$183.15,2245727,$179.68,$183.28,$178.08
09/07/2022,$180.86,2167029,$179.11,$181.8384,$178.19
09/06/2022,$180.66,2141693,$182.9,$183.66,$179.59
09/02/2022,$180.83,2185474,$184.85,$185.74,$179.85
09/01/2022,$182.44,2686280,$182.27,$183.21,$180.1
08/31/2022,$184.71,2656561,$186.63,$188.06,$184.5
08/30/2022,$186.94,2691218,$191.5,$191.96,$184.5924
08/29/2022,$191.78,1996590,$190,$193.169,$189
08/26/2022,$191.92,2560386,$199.4,$200.3677,$191.73
08/25/2022,$198.88,1888732,$195.49,$198.91,$194.57
08/24/2022,$194.16,2503442,$197.56,$198.68,$193.45
08/23/2022,$197.21,2445082,$192.75,$198.14,$192.48
08/22/2022,$191.76,2008855,$193.11,$193.93,$191.5512
08/19/2022,$195.6,2003565,$195.27,$197.22,$193.81
08/18/2022,$197.35,1750888,$197.05,$197.63,$195.245
08/17/2022,$195.93,1576440,$195,$196.9,$193.87
08/16/2022,$197.52,1959335,$195.32,$198.4,$194.95
08/15/2022,$195.95,1752584,$193.4,$196.5,$193.07
08/12/2022,$196.84,1864797,$194.89,$196.97,$193.8
08/11/2022,$194,2538990,$192.83,$195.58,$191.91
08/10/2022,$190.72,2304657,$188.73,$191.52,$187.45
08/09/2022,$186.03,2460002,$185.95,$187.88,$185.16
08/08/2022,$185.81,2655592,$186.77,$188,$184.16
08/05/2022,$185.39,1908521,$183.58,$186.1,$183.23
08/04/2022,$183.64,2478858,$182.86,$185.9311,$181.12
08/03/2022,$182.87,4155892,$183.32,$185.44,$181.6
08/02/2022,$183.51,8193096,$188,$189.47,$183.16
08/01/2022,$194.86,3185132,$195.08,$197.19,$193.4
07/29/2022,$198.25,5188148,$189.19,$199.49,$189.12
07/28/2022,$187.84,2229204,$186.85,$189.52,$184.2
07/27/2022,$185.25,1856625,$182.92,$186.18,$180.32
07/26/2022,$181.23,1767673,$181.16,$183.645,$180.58
07/25/2022,$181.81,1845604,$179.17,$182.6,$177.765
07/22/2022,$178.62,1961489,$181.49,$182.8,$177.34
07/21/2022,$180.99,2214529,$178.42,$181.07,$176.48
07/20/2022,$179.97,2176090,$178.78,$180.8,$177.065
07/19/2022,$179.49,2671398,$173.9,$179.695,$172.884
07/18/2022,$173.49,2476409,$176.13,$176.7,$172.71
07/15/2022,$173.38,2282108,$172.25,$173.38,$169.2
07/14/2022,$169.94,2531232,$169.75,$170.7,$167.08
07/13/2022,$173.87,2389041,$172.25,$175.25,$171.86
07/12/2022,$174.49,2718396,$174.74,$177.24,$172.6
07/11/2022,$175.02,2773877,$177.41,$179.77,$174.62
07/08/2022,$179.1,2491087,$180.23,$181.24,$176.39
07/07/2022,$180.28,4677626,$182.5,$182.5,$176.3301
07/06/2022,$172.31,3190582,$173.48,$174.67,$169.29
07/05/2022,$173.76,3725409,$173.77,$174.42,$170.595
07/01/2022,$178.29,3423158,$179.31,$181.32,$173.72
06/30/2022,$178.76,4197106,$180.26,$182.14,$177.12
06/29/2022,$183.48,2436919,$187.32,$187.57,$182.13
06/28/2022,$187.44,3327704,$189.97,$193.1,$187.43
06/27/2022,$187.59,3061090,$188.08,$190.08,$185.82
06/24/2022,$185.49,4868921,$181.34,$185.6,$179.37
06/23/2022,$178.67,6667926,$186.58,$187.23,$176.02
06/22/2022,$187.83,4012246,$190,$192.79,$187.705
06/21/2022,$196.37,2755355,$197.1,$198.42,$193.87
06/17/2022,$192.64,7226161,$195.68,$197.74,$190.87
06/16/2022,$194.79,4789903,$201.07,$201.25,$193.25
06/15/2022,$206,2343231,$207.48,$208.65,$203.13
06/14/2022,$206.69,2359013,$208.06,$209.73,$205.27
06/13/2022,$206.88,3559596,$209.58,$209.87,$204.9
06/10/2022,$215.18,2605398,$219.5,$220.22,$215.01
06/09/2022,$223.67,3047339,$227.43,$228.211,$223.62
06/08/2022,$229.8,4171344,$225.29,$232.35,$224.62
06/07/2022,$227.1,1799081,$222,$227.27,$221.65
06/06/2022,$223.63,1565510,$222.9,$224.763,$222.25
06/03/2022,$222.9,2222739,$218.25,$224.1,$218.25
06/02/2022,$220,1784213,$219.59,$220.84,$217.25
06/01/2022,$217.57,2314030,$218.46,$219,$214.3
05/31/2022,$215.85,3773508,$214.79,$218.09,$213.49
05/27/2022,$217.14,2020431,$215,$217.63,$214.16
05/26/2022,$212.99,2015957,$211.55,$213.635,$210.4
05/25/2022,$209.31,3080246,$205,$210.09,$204.82
05/24/2022,$205.65,2467967,$202.01,$205.7,$201.29
05/23/2022,$204.15,3246553,$199.93,$205.49,$199.16
