Date,Close,Volume,Open,High,Low
09/22/2022,$288.59,70545410,$299.86,$301.29,$285.82
09/21/2022,$300.8,62555660,$308.29,$313.8,$300.63
09/20/2022,$308.73,61642780,$306.91,$313.33,$305.58
09/19/2022,$309.07,60231160,$300.09,$309.84,$297.8
09/16/2022,$303.35,87087790,$299.605,$303.71,$295.6005
09/15/2022,$303.75,64795520,$301.825,$309.12,$300.7247
09/14/2022,$302.61,72628650,$292.24,$306,$291.64
09/13/2022,$292.13,68229620,$292.9,$297.3999,$290.4
09/12/2022,$304.42,48674600,$300.72,$305.49,$300.4
09/09/2022,$299.68,54470850,$291.67,$299.85,$291.245
09/08/2022,$289.26,53713120,$281.3,$289.5,$279.76
09/07/2022,$283.7,50028920,$273.1,$283.84,$272.27
09/06/2022,$274.42,55859980,$272.675,$275.99,$265.74
09/02/2022,$270.21,50890090,$281.065,$282.35,$269.08
09/01/2022,$277.16,54287020,$272.575,$277.58,$266.15
08/31/2022,$275.61,52107340,$280.62,$281.25,$271.81
08/30/2022,$277.7,50541760,$287.865,$288.48,$272.65
08/29/2022,$284.82,41864740,$282.83,$287.74,$280.7
08/26/2022,$288.09,57163950,$297.43,$302,$287.47
08/25/2022,$296.07,53230010,$302.36,$302.96,$291.6
08/24/2022,$297.0966,57259716,$297.5633,$303.6466,$296.5
08/23/2022,$296.4533,63985056,$291.4533,$298.8266,$287.9233
08/22/2022,$289.9133,55843356,$291.9133,$292.4,$286.2966
08/19/2022,$296.6666,61395396,$299,$300.36,$292.5
08/18/2022,$302.87,47500535,$306,$306.5,$301.8533
08/17/2022,$303.9966,68765977,$303.3966,$309.6566,$300.0333
08/16/2022,$306.5633,88136319,$311.6666,$314.6666,$302.8833
08/15/2022,$309.32,89359179,$301.7866,$313.1333,$301.23
08/12/2022,$300.03,79657298,$289.415,$300.16,$285.0333
08/11/2022,$286.63,70155067,$296.5133,$298.2366,$285.8333
08/10/2022,$294.3566,94918869,$297.0666,$297.51,$283.37
08/09/2022,$283.3333,86244699,$290.2933,$292.3966,$279.3533
08/08/2022,$290.4233,99365290,$295,$305.2,$289.0854
08/05/2022,$288.17,113172911,$302.67,$304.6066,$285.5446
08/04/2022,$308.6333,72256327,$311,$313.6066,$305
08/03/2022,$307.3966,80091128,$305,$309.55,$301.15
08/02/2022,$300.5866,95577490,$294.0033,$307.8333,$292.6666
08/01/2022,$297.2766,117042912,$301.275,$311.8782,$295
07/29/2022,$297.15,95312890,$280.7,$298.32,$279.1
07/28/2022,$280.9,84723008,$280.0666,$283.3,$272.8
07/27/2022,$274.82,88110009,$263.81,$275.9256,$261.79
07/26/2022,$258.86,66820777,$266.5133,$267.3099,$256.2633
07/25/2022,$268.4333,64073526,$272.2166,$274.1466,$267.4
07/22/2022,$272.2433,103472860,$276.22,$280.7866,$270.7133
07/21/2022,$271.7066,142032194,$255.1066,$273.2666,$254.8666
07/20/2022,$247.5,88864089,$246.7833,$250.6633,$243.483
07/19/2022,$245.53,80890118,$245,$247.14,$236.9766
07/18/2022,$240.5466,82537448,$244.9366,$250.5166,$239.6033
07/15/2022,$240.0666,69683017,$240,$243.6233,$236.89
07/14/2022,$238.3133,78557498,$234.8966,$238.6533,$229.3333
07/13/2022,$237.04,97954510,$225.5,$242.0599,$225.0333
07/12/2022,$233.07,87930969,$236.8466,$239.7733,$228.3683
07/11/2022,$234.3433,99509230,$252.1033,$253.0633,$233.6266
07/08/2022,$250.7633,101854090,$242.3333,$254.9799,$241.1614
07/07/2022,$244.5433,81930698,$233.92,$245.3616,$232.21
07/06/2022,$231.7333,71853637,$230.78,$234.5633,$227.1866
07/05/2022,$233.0666,84779108,$223,$233.1466,$216.1667
07/01/2022,$227.2633,74460457,$227,$230.23,$222.12
06/30/2022,$224.4733,94600449,$224.51,$229.4566,$218.8633
06/29/2022,$228.49,82897268,$230.5,$231.1733,$222.2733
06/28/2022,$232.6633,90666519,$244.4833,$249.97,$232.3433
06/27/2022,$244.92,89178309,$249.3666,$252.07,$242.5655
06/24/2022,$245.7066,95770720,$237.4683,$246.0666,$236.0866
06/23/2022,$235.07,104202700,$237.905,$239.3166,$228.6366
06/22/2022,$236.0866,101527270,$234.5033,$246.8333,$233.8266
06/21/2022,$237.0366,122792982,$224.6033,$243.5773,$224.3333
06/17/2022,$216.76,92641779,$213.4333,$220.9694,$213.1966
06/16/2022,$213.1,107390711,$222.7366,$225.1666,$208.6933
06/15/2022,$233,119131962,$220.9166,$235.6633,$218.15
06/14/2022,$220.89,97988800,$218.2866,$226.33,$211.7366
06/13/2022,$215.7366,102767260,$223.1666,$226.6333,$214.6833
06/10/2022,$232.23,98090920,$235.1566,$239.5,$227.9133
06/09/2022,$239.7066,96491320,$249.34,$255.5466,$239.3266
06/08/2022,$241.8666,76210628,$240.0866,$249.9633,$239.1766
06/07/2022,$238.8866,72808597,$234,$239.9966,$230.0933
06/06/2022,$238.28,84204518,$244.3533,$244.8666,$234.35
06/03/2022,$234.5166,112393751,$243.225,$247.7966,$233.4178
06/02/2022,$258.3333,93473139,$244.1566,$264.21,$242.0666
06/01/2022,$246.79,77247968,$251.72,$257.3266,$243.64
05/31/2022,$252.7533,101914390,$257.9466,$259.6,$244.7433
05/27/2022,$253.21,89294979,$241.0833,$253.2666,$240.177
05/26/2022,$235.91,106003361,$220.4733,$239.5566,$217.8866
05/25/2022,$219.6,92139339,$207.95,$223.1066,$207.67
05/24/2022,$209.3866,89092539,$217.8433,$217.9733,$206.8566
05/23/2022,$224.9666,88903659,$218.34,$226.6517,$212.6866
05/20/2022,$221.3,144973334,$237.9966,$240.5273,$211
05/19/2022,$236.4733,90296679,$235.6666,$244.6666,$231.37
05/18/2022,$236.6033,87811809,$248.1733,$253.5,$233.6033
05/17/2022,$253.87,80236118,$249.12,$254.8266,$242.95
05/16/2022,$241.4566,86098539,$255.72,$256.5866,$239.6961
05/13/2022,$256.53,92150739,$257.8266,$262.4499,$250.5216
05/12/2022,$242.6666,140312864,$233.6666,$253.22,$226.6666
05/11/2022,$244.6666,97224460,$265,$269.9233,$242.4
05/10/2022,$266.68,84401648,$273.1033,$275.12,$258.0833
05/09/2022,$262.37,90810219,$278.8166,$281.8766,$260.3833
05/06/2022,$288.55,72903127,$295.6666,$296,$281.035
05/05/2022,$291.0933,92519199,$313.07,$315.2,$285.9
05/04/2022,$317.54,81643718,$301.3133,$318.5,$295.0933
05/03/2022,$303.0833,63709596,$301.06,$308.0266,$296.1966
05/02/2022,$300.98,75781388,$286.9233,$302.1199,$282.6766
04/29/2022,$290.2533,88133019,$300.75,$311.4666,$290
04/28/2022,$292.5033,124948542,$299.9933,$300,$273.9
04/27/2022,$293.8366,76956398,$299.5266,$306,$292.4533
04/26/2022,$292.14,136133684,$331.81,$333.3333,$291.6666
04/25/2022,$332.6733,68341357,$326.3233,$336.2066,$325.1
04/22/2022,$335.0166,69696577,$338.3033,$344.95,$331.3333
04/21/2022,$336.26,105416351,$358.2433,$364.0733,$332.1383
04/20/2022,$325.7333,70711327,$343.3333,$344.6666,$325.0833
04/19/2022,$342.7166,49847825,$335.02,$344.98,$331.775
04/18/2022,$334.7633,51715235,$329.6766,$338.3066,$324.47
04/14/2022,$328.3333,58422426,$333.0966,$337.5699,$327.3966
04/13/2022,$340.79,55121226,$327.025,$342.08,$324.3656
04/12/2022,$328.9833,65976097,$332.5466,$340.3973,$325.5333
04/11/2022,$325.31,59357226,$326.8,$336.156,$324.88
04/08/2022,$341.83,55013706,$347.7366,$349.48,$340.8116
04/07/2022,$352.42,79447058,$350.7966,$358.8633,$340.5133
04/06/2022,$348.5866,89348559,$357.8233,$359.6666,$342.5666
04/05/2022,$363.7533,80075018,$378.7666,$384.29,$362.4333
04/04/2022,$381.8166,82177718,$363.1266,$383.3033,$357.51
04/01/2022,$361.53,54263225,$360.3833,$364.9166,$355.5466
03/31/2022,$359.2,48992765,$364.8566,$367.7133,$358.8803
03/30/2022,$364.6633,59865006,$363.7233,$371.3166,$361.3333
03/29/2022,$366.5233,73614817,$369.33,$371.59,$357.7033
03/28/2022,$363.9466,102506080,$355.0333,$365.9599,$351.2
03/25/2022,$336.88,62031546,$336,$340.5999,$332.44
03/24/2022,$337.9733,68920897,$336.5766,$341.4966,$329.6
03/23/2022,$333.0366,120676152,$326.6466,$346.9,$325.4666
03/22/2022,$331.3266,105868571,$310,$332.62,$307.25
03/21/2022,$307.0533,81981668,$304.9933,$314.2833,$302.3633
03/18/2022,$301.7966,100414210,$291.4966,$302.6166,$289.13
03/17/2022,$290.5333,66582967,$276.9966,$291.6666,$275.2392
03/16/2022,$280.0766,84028838,$269.6666,$280.6666,$267.42
03/15/2022,$267.2966,66841147,$258.4233,$268.5233,$252.19
03/14/2022,$255.4566,71152267,$260.2033,$266.9,$252.0133
03/11/2022,$265.1166,67037167,$280.0656,$281.2673,$264.59
03/10/2022,$279.4333,58648656,$283.8166,$284.8166,$270.12
03/09/2022,$286.3233,59183976,$279.8266,$286.8533,$277.3366
03/08/2022,$274.8,80399108,$265.1766,$283.33,$260.7233
03/07/2022,$268.1933,72494167,$285.4333,$288.7133,$268.19
