Date,Close,Volume,Open,High,Low
05/04/2022,$31.77,6651292,$29.8025,$31.9375,$28.93
05/03/2022,$30.1075,7312684,$29.62,$31.1084,$28.605
05/02/2022,$29.8925,10171944,$30.9125,$31.3475,$28.175
04/29/2022,$31.2675,5143420,$31.825,$32.7225,$30.7525
04/28/2022,$32.3275,7084892,$32.57,$33.1508,$30.125
04/27/2022,$32.46,5223496,$31.8175,$33.17,$31.146
04/26/2022,$31.9,6182896,$33.91,$34.2,$31.5409
04/25/2022,$33.9875,6139116,$33.8525,$34.9275,$33.321
04/22/2022,$34.555,6278432,$35.6375,$36.575,$33.8875
04/21/2022,$35.39,6737468,$37.5,$38.28,$34.9775
04/20/2022,$37.2125,4648012,$38,$38.0825,$36.6625
04/19/2022,$38.1175,9416676,$35.7125,$38.245,$34.9649
04/18/2022,$35.365,9871124,$37.5,$37.81,$34.31
04/14/2022,$37.6925,10002332,$37.3175,$39.125,$36.805
04/13/2022,$37.675,8032900,$36.025,$38.0325,$35.505
04/12/2022,$36.2175,7996544,$36.625,$38.0625,$35.4162
04/11/2022,$36.7325,9811916,$35.76,$37.055,$35.1525
04/08/2022,$36.5475,10371516,$37.2725,$37.6777,$35.5075
04/07/2022,$37.5,15311388,$38.5275,$39.175,$35.3925
04/06/2022,$39.16,16267832,$37.7525,$39.8218,$37.425
04/05/2022,$38.3975,15825264,$42,$42.1075,$38
04/04/2022,$42.6825,18560308,$41.745,$43.31,$39.1275
04/01/2022,$41.25,52758240,$47.225,$47.4422,$38.815
03/31/2022,$41.645,44968920,$40.775,$43.9363,$39.6275
03/30/2022,$41.7125,36676744,$43.75,$45.8342,$41.25
03/29/2022,$44.975,72045960,$47.06,$49.8525,$40.75
03/28/2022,$47.3975,65266080,$37.995,$47.71,$37.8862
03/25/2022,$37.9875,53535480,$35.01,$39.54,$34.55
03/24/2022,$35.5975,36400600,$33.5037,$35.87,$31.69
03/23/2022,$35.25,98399360,$32.5,$37.7325,$31.6375
03/22/2022,$30.785,60068920,$23.85,$31.4475,$23.6125
03/21/2022,$23.55,15812448,$22.5,$24.8498,$22.44
03/18/2022,$22.6975,35688376,$19.935,$24.3625,$19.725
03/17/2022,$21.925,13796480,$21.275,$22.395,$20.8625
03/16/2022,$21.715,10615712,$21.2775,$22.5025,$20.5
03/15/2022,$20.66,14115192,$20.525,$21.89,$19.67
03/14/2022,$19.5275,18134456,$23.3575,$23.58,$19.395
03/11/2022,$23.1725,8822152,$25.665,$25.725,$23.1725
03/10/2022,$25.14,5581868,$25.98,$26.0143,$24.5628
03/09/2022,$26.3025,5598388,$26.745,$27.215,$25.875
03/08/2022,$25.7525,8536116,$25.2575,$27.2475,$24.2715
03/07/2022,$24.8375,12591460,$28.75,$28.75,$24.0256
03/04/2022,$27.915,5920052,$29.5025,$30.1275,$27.6453
03/03/2022,$29.6025,4382408,$30.74,$30.935,$29.3075
03/02/2022,$30.4925,5242600,$29.875,$30.6675,$29.0928
03/01/2022,$29.755,4384084,$30.5475,$31.4675,$29.5875
02/28/2022,$30.835,6457988,$30.25,$31.5712,$29.2225
02/25/2022,$29.645,6841020,$30.8925,$31.2425,$29.1213
02/24/2022,$31.145,9024848,$26.3825,$31.4275,$26.03
02/23/2022,$28.7175,5393008,$30.305,$30.8388,$28.57
02/22/2022,$29.515,6156452,$29.55,$30.8325,$28.5463
02/18/2022,$30.3825,6214156,$31.05,$31.4124,$29.5328
02/17/2022,$30.8525,6256416,$31.6925,$32.712,$30.555
02/16/2022,$32.0825,8007724,$31.1075,$33.2125,$30.98
02/15/2022,$31.54,7920356,$30.24,$31.8075,$29.815
02/14/2022,$29.2725,9102704,$30.7325,$31.375,$29.0375
02/11/2022,$31.0625,11299108,$30.62,$32.4667,$30.1927
02/10/2022,$30.6175,14826148,$29.4875,$32.945,$29
02/09/2022,$31.0725,15467580,$28.5225,$31.1775,$28.25
02/08/2022,$28.9,19839624,$25.4387,$29.4179,$25.1375
02/07/2022,$25.585,7037440,$25.7475,$26.3462,$24.6925
02/04/2022,$25.585,7627164,$24.7525,$26,$23.77
02/03/2022,$24.8075,10710076,$25.375,$26.735,$24.4275
02/02/2022,$25.01,13116540,$27.5875,$27.965,$24.515
02/01/2022,$28.15,13847508,$28.2525,$29.1625,$27.0662
01/31/2022,$27.2325,13997092,$24.4675,$27.455,$24.465
01/28/2022,$24.4775,16430268,$23.85,$24.5,$21.9013
01/27/2022,$23.38,14679824,$26.035,$26.75,$23.2216
01/26/2022,$25.815,33330160,$25.275,$29.75,$25.0775
01/25/2022,$24.9475,14297020,$24.23,$26.2423,$23.7525
01/24/2022,$25.0375,25070996,$24.755,$25.715,$21.5725
01/21/2022,$26.59,22120044,$25.25,$27.5525,$23.18
01/20/2022,$25.6675,11680296,$26.975,$28.8,$25.4
01/19/2022,$26.6425,9614316,$27.5025,$28.2625,$26.1025
01/18/2022,$27.2275,15037612,$28.2775,$28.4375,$26.1005
01/14/2022,$29.1625,15401912,$30.0375,$30.575,$28.005
01/13/2022,$30.62,8901080,$32.125,$32.625,$30.4225
01/12/2022,$32.015,6298036,$32.5,$32.83,$31.6125
01/11/2022,$32.575,10332220,$32.525,$34.2,$31.8475
01/10/2022,$32.7875,22047924,$33.7475,$33.9225,$30
